Time[s],Voltage[V],Current[A]
0.0,100.0,3.775406687981455
1.0005002501250625e-07,100.0,3.7816312807744987
2.001000500250125e-07,100.0,3.787849648975267
3.0015007503751875e-07,100.0,3.794061798808354
4.00200100050025e-07,100.0,3.800267736492126
5.002501250625313e-07,100.0,3.80646746823873
6.003001500750375e-07,100.0,3.8126610002541055
7.003501750875438e-07,100.0,3.8188483387379817
8.0040020010005e-07,100.0,3.8250294898838906
9.004502251125562e-07,100.0,3.831204459879168
1.0005002501250626e-06,100.0,3.837373254904966
1.1005502751375688e-06,100.0,3.843535881136251
1.200600300150075e-06,100.0,3.84969234474182
1.3006503251625812e-06,100.0,3.8558426518842968
1.4007003501750876e-06,100.0,3.861986808720143
1.5007503751875938e-06,100.0,3.8681248213996655
1.6008004002001e-06,100.0,3.8742566960670217
1.7008504252126063e-06,100.0,3.88038243886022
1.8009004502251125e-06,100.0,3.8865020559111363
1.900950475237619e-06,100.0,3.8926155533455127
2.001000500250125e-06,100.0,3.8987229372829635
2.101050525262631e-06,100.0,3.904824213836987
2.2011005502751375e-06,100.0,3.910919389114965
2.301150575287644e-06,100.0,3.917008469218172
2.40120060030015e-06,100.0,3.9230914602417846
2.5012506253126564e-06,100.0,3.9291683682748806
2.6013006503251624e-06,100.0,3.93523919940045
2.701350675337669e-06,100.0,3.9413039596954
2.8014007003501753e-06,100.0,3.9473626552305605
2.9014507253626813e-06,100.0,3.9534152920706918
3.0015007503751877e-06,100.0,3.959461876274487
3.1015507753876937e-06,100.0,3.9655024138945825
3.2016008004002e-06,100.0,3.9715369109775613
3.3016508254127065e-06,100.0,3.9775653735639604
3.4017008504252125e-06,100.0,3.9835878076882762
3.501750875437719e-06,100.0,3.98960421937897
3.601800900450225e-06,100.0,3.9956146146584732
3.7018509254627314e-06,100.0,4.001618999543199
3.801900950475238e-06,100.0,4.007617380043541
3.901950975487744e-06,100.0,4.013609762163883
4.00200100050025e-06,100.0,4.019596151902603
4.102051025512756e-06,100.0,4.025576555252084
4.202101050525262e-06,100.0,4.031550978198715
4.302151075537769e-06,100.0,4.037519426722897
4.402201100550275e-06,100.0,4.043481906799052
4.502251125562781e-06,100.0,4.049438424395628
4.602301150575288e-06,100.0,4.055388985475104
4.702351175587794e-06,100.0,4.061333595993998
4.8024012006003e-06,100.0,4.0672722619028665
4.902451225612807e-06,100.0,4.073204989146323
5.002501250625313e-06,100.0,4.07913178366303
5.102551275637819e-06,100.0,4.085052651385714
5.202601300650325e-06,100.0,4.0909675982411695
5.302651325662832e-06,100.0,4.096876630150263
5.402701350675338e-06,100.0,4.10277975302794
5.502751375687844e-06,100.0,4.108676972783231
5.6028014007003505e-06,100.0,4.114568295319258
5.7028514257128565e-06,100.0,4.120453726533242
5.8029014507253625e-06,100.0,4.126333272316501
5.902951475737869e-06,100.0,4.132206938554468
6.003001500750375e-06,100.0,4.138074731126686
6.103051525762881e-06,100.0,4.1439366559068205
6.203101550775387e-06,100.0,4.149792718762665
6.303151575787894e-06,100.0,4.1556429255561405
6.4032016008004e-06,100.0,4.161487282143311
6.503251625812906e-06,100.0,4.167325794374382
6.603301650825413e-06,100.0,4.173158468093709
6.703351675837919e-06,100.0,4.178985309139802
6.803401700850425e-06,100.0,4.1848063233453345
6.903451725862931e-06,100.0,4.190621516537147
7.003501750875438e-06,100.0,4.196430894536253
7.103551775887944e-06,100.0,4.202234463157844
7.20360180090045e-06,100.0,4.208032228211298
7.303651825912957e-06,100.0,4.213824195500181
